SOURCE_ID,nbr_ID_
1,8
1,53
1,155
1,308
2,3
2,54
2,142
2,147
2,152
2,155
3,2
3,142
3,155
3,308
4,34
4,211
4,307
4,416
4,418
5,33
5,157
5,436
5,440
5,480
6,85
6,98
6,277
6,289
7,42
7,92
7,134
7,165
7,463
7,464
7,465
8,1
8,10
8,52
8,53
8,54
8,155
8,334
9,50
9,51
9,107
9,421
10,8
10,52
10,54
10,55
10,163
10,331
13,130
13,242
13,261
13,369
14,15
14,83
14,345
14,477
15,14
15,60
15,205
15,345
15,394
15,477
17,18
17,20
17,21
17,171
17,389
18,17
18,21
18,122
18,389
18,441
19,35
19,62
19,171
19,397
19,409
19,481
20,17
20,21
20,62
20,171
21,17
21,18
21,20
21,62
21,441
22,24
22,143
22,158
22,162
22,222
22,273
22,283
22,374
23,67
23,153
23,160
23,293
23,447
24,22
24,25
24,162
24,278
24,283
25,24
25,278
25,283
26,27
26,28
26,68
26,103
27,26
27,28
27,103
27,191
28,26
28,27
28,68
28,86
28,191
28,225
31,90
31,96
31,100
31,135
31,270
31,325
32,41
32,125
32,412
32,449
32,485
33,5
33,85
33,436
33,440
34,4
34,211
34,263
34,305
34,418
35,19
35,104
35,171
35,325
35,397
35,411
35,432
35,465
35,490
35,495
36,86
36,117
36,175
36,215
36,225
36,323
36,447
37,179
37,194
37,200
37,218
37,236
37,238
37,292
37,311
38,79
38,116
38,164
38,241
38,423
38,505
39,87
39,100
39,471
39,475
39,490
41,32
41,91
41,125
41,129
41,414
41,415
41,449
42,7
42,134
42,156
42,165
42,372
43,124
43,241
43,265
43,285
43,301
45,77
45,84
45,93
45,119
45,123
45,159
45,204
46,99
46,394
46,476
46,487
46,498
47,72
47,110
47,115
47,149
47,174
47,202
47,221
47,233
48,121
48,209
48,223
48,341
48,387
49,257
49,275
49,295
49,389
49,390
49,395
50,9
50,51
50,53
50,142
50,308
50,334
50,421
51,9
51,50
51,52
51,107
51,334
52,8
52,10
52,51
52,55
52,56
52,107
52,334
53,1
53,8
53,50
53,308
53,334
54,2
54,8
54,10
54,147
54,155
54,192
54,322
54,331
55,10
55,52
55,56
55,58
55,163
56,52
56,55
56,58
56,78
56,107
57,148
57,321
57,336
57,426
58,55
58,56
58,78
58,163
59,60
59,347
59,362
59,477
60,15
60,59
60,184
60,205
60,347
60,369
60,408
60,477
62,19
62,20
62,21
62,171
62,441
62,481
63,119
63,123
63,149
63,174
63,204
63,281
64,96
64,136
64,248
64,270
64,340
64,499
66,67
66,69
66,103
66,153
66,190
66,191
67,23
67,66
67,69
67,101
67,153
67,160
68,26
68,28
68,86
68,103
68,105
68,190
68,439
69,66
69,67
69,101
69,190
70,162
70,217
70,278
70,283
70,333
70,374
72,47
72,115
72,126
72,174
72,295
72,327
74,189
74,212
74,230
74,231
74,253
74,356
74,365
74,399
74,407
74,410
74,491
