ID#,AVG_EXTROVERT,AVG_AGREEABLE,AVG_CONSCIENTIOUS,AVG_NEUROTIC,AVG_OPEN,DENSITY
1,2.3,3.2,3.5,1.7,3.3,"5,593.1"
2,2.3,3.3,2.5,3.5,3,"16,336.2"
3,3.3,3.8,4,2.3,4,"8,826.7"
4,4,4.2,3.8,1.2,3.2,"1,216.0"
5,4.2,3.8,4.3,1.7,3.7,"6,470.3"
6,2.8,3.8,3.7,2.2,3.5,"2,118.5"
7,4.8,4.5,3.8,1.2,4.8,"36,325.0"
8,4,4.5,3.2,3.5,4.8,"9,680.9"
9,3.7,3.2,4.5,1.8,4,"5,038.9"
10,3.7,4.8,4.8,2,4.7,"1,878.2"
13,3.8,4.2,3.8,2.3,3.8,"9,301.8"
14,3.7,5,4.2,1.8,4.5,"7,942.8"
15,3.7,4.2,4.3,1.2,4.8,"4,387.3"
17,3.7,4.2,2.8,1.5,3.3,"4,906.7"
18,2.8,3.5,3.2,3.3,2.7,"4,906.7"
19,3.3,5,3.5,2,4.2,"7,606.7"
20,3.5,5,5,1.5,3.5,"4,906.7"
21,3.7,3.5,4.3,1.5,3.5,"4,906.7"
22,3.5,3.2,3.3,2.2,4.3,"1,193.7"
23,3.3,5,4.5,1.3,4.3,"21,008.6"
24,2.3,4,3.2,1.8,2.5,"1,193.7"
25,3,3.3,3.7,2.5,3.7,"2,061.0"
26,3.2,4.5,3.3,3.3,4.8,"5,907.6"
27,3,4.3,3.7,1,4.5,"6,716.9"
28,3.8,2.8,3.8,4.5,3.5,"8,697.6"
31,4,4.3,3.3,2.5,4,"8,906.3"
32,4.7,4.5,5,1,4.8,"11,331.5"
33,3.2,4.5,4.2,2.3,4.7,"5,624.4"
34,4.2,4.7,3.8,1.2,4.7,"1,216.0"
35,5,4,4.8,1.3,3.3,"9,241.0"
36,4,4,4,2,4,"3,438.5"
37,3.8,4.5,4.3,1.7,5,389.6
38,2,3.8,3.5,3.3,3,"1,593.5"
39,4,4.3,5,1.7,3.2,"1,793.1"
41,4.2,3,3.8,2.5,5,"26,486.6"
42,4,3.5,3.3,1.7,4.2,"5,470.1"
43,3,4.2,4.3,2.7,3,"1,554.6"
45,2.5,4.5,4.5,2.3,3,"6,560.0"
46,3.2,4.2,2.3,2.3,2.8,372.3
47,3.3,3.3,3.7,1.3,4.3,"3,851.6"
48,4.2,4.3,4.3,1.3,4.2,"8,269.5"
49,3.8,4.8,3.8,1,4,"2,369.3"
50,2.5,2.8,3,2.8,3.3,109.2
51,2.2,3.8,3,3.3,3.3,"5,038.9"
52,3.3,4.3,3.7,2.2,4.5,"1,878.2"
53,4.7,5,5,1.7,4.3,"10,639.3"
54,2.3,4,3.7,2,5,"3,385.8"
55,2.8,4.8,3.8,1.2,3,"6,818.6"
56,4.7,3.3,3.5,2.8,3.8,"6,818.6"
57,3.3,4.5,4.3,1.3,4.2,"9,398.3"
58,2.3,3.8,4.3,1.3,3.7,"6,818.6"
59,2.7,3.3,3.2,2.7,4.2,"8,653.7"
60,3.3,3.2,3.3,2.3,3.2,"8,653.7"
62,3,4.2,4.2,3.2,4.2,"1,782.0"
63,3.7,4.3,4.3,1.5,4.2,"2,738.1"
64,2.7,4.5,3.2,2,3.8,"3,365.4"
66,3.5,4.5,3.7,3,4.8,"12,086.8"
67,2.8,2.8,3,3.5,3.2,"7,944.7"
68,4.3,4.3,4.7,1.7,4.3,"5,907.6"
69,3,3,3,3,3,"7,956.1"
70,2.5,3.8,3.2,2.2,4.7,"1,650.2"
72,3.7,4.3,2.8,2,4.3,144.3
74,3,4.5,4.3,2.5,2.8,"2,684.7"
75,2.2,4.7,3.5,1.3,4.5,"6,690.7"
76,2.8,3.7,4.8,3.7,4.2,"5,445.3"
77,3.7,4.8,5,1.3,3.8,"6,882.9"
78,3,4,3.8,2,4.2,"6,818.6"
79,3.2,4,4.2,1.3,4.5,"1,609.0"
80,3.2,5,3.3,2.2,3.8,"6,605.2"
81,3.7,4,3.3,2.7,4.7,"6,028.0"
82,2.7,4.5,4.3,1.3,3.3,"6,618.4"
83,5,5,5,1.5,5,"4,527.2"
84,2.7,4.3,2.2,1.7,2.5,"3,723.1"
85,2.3,3.8,2.8,2.2,2.5,2.8
86,1.8,4.2,1.7,5,4,"7,682.0"
87,4.7,4.5,4,1.5,4.5,"7,142.9"
89,3.3,4.3,3.8,1.5,4,"1,451.5"
90,4.5,2.8,3.2,1.7,4.5,"19,223.1"
91,3.3,4.5,4.3,2,3.3,"3,217.2"
92,2.5,3.8,3.5,1.7,5,"24,201.5"
93,4.2,4.5,3.7,1.8,4.5,"6,421.1"
94,4,4.2,4,1.7,4.2,47.9
95,4.3,4.8,4.3,1,3,"6,356.3"
96,2.2,4,3.8,1.7,3.3,"5,222.2"
98,4,4.2,3.3,2.7,3.8,"2,223.8"
99,4.2,4.3,4.7,2.3,5,"6,128.7"
100,3.7,4.8,4.7,1.7,4.5,"3,057.5"
101,4,4.8,3.7,1.5,4.7,"10,141.7"
103,2.8,2.8,3.3,3.8,4.3,"6,716.9"
104,3.8,4.3,4.2,1.5,3.8,"8,527.7"
105,2.8,3.8,3.5,3,2.8,"4,983.7"
106,4,2.8,3.3,2.5,5,"5,645.0"
107,3.2,4.3,3.2,3,4.5,"11,419.0"
108,3,3.7,4.5,2,2.8,"12,450.9"
109,2.7,3.5,3.5,4.2,3.6,"3,464.1"
110,3.7,4,2.7,1.7,4.3,"7,150.6"
111,4.2,4.8,4.3,2.2,3.5,"6,294.3"
113,4.2,4,3.8,2.8,3.5,"5,665.1"
114,3.3,4,4,2.2,3.8,"3,505.3"
115,3.7,3,4.2,1.8,4.3,"4,685.0"
116,2.3,5,4.7,1.7,3.4,"3,946.8"
117,4.3,3.2,3.7,2,4.7,"2,795.5"
118,3.8,3.7,3.5,3.5,2.7,314.1
119,3,3,3,3,3,"6,563.7"
120,2.7,4.7,3.5,2.7,3.8,"5,183.9"
121,4.3,3.2,4.7,1.2,3.7,"3,625.8"
122,3.8,2.7,3,2.3,3.5,"2,815.2"
123,3.5,3.2,3.3,2.7,3.8,"5,093.1"
124,2.7,3.5,3.3,2.5,4.2,"2,688.9"
125,3.5,3.8,3.3,3.2,4.3,"7,461.5"
126,2.2,4.5,4,2.7,3.7,190.6
127,2.5,4.2,4.7,2.5,3.2,"17,705.0"
128,4.3,4.8,4.2,2.8,3.7,424.3
129,4.2,4.5,3.2,2,4.7,"9,621.1"
130,4.7,3.8,3.8,2.7,3.8,"9,301.8"
131,2.8,4,3.5,3.7,4.2,"16,178.5"
132,4.2,3.8,3.3,2.3,4.2,"21,368.0"
133,4.5,4,4.7,1.7,4,"15,638.4"
134,4.2,4.2,3.5,2.8,4.5,"18,202.1"
135,3,3.8,4.3,3.2,3.8,"14,381.8"
136,3,4.2,3,4.3,4,"3,581.8"
137,2.3,4,4.3,3.8,3.2,"13,537.5"
138,3,3.7,3.8,1.2,3.5,"6,983.4"
139,3,1.3,2.7,4.8,3.2,"3,556.4"
140,4.7,3.8,4.8,1.7,4.7,486.1
141,1.7,3.8,3.3,2.7,4,"20,870.8"
142,3,4.2,3.2,3.3,4.8,472.2
143,2.8,4.2,4.8,2,4.3,"8,815.9"
144,3.3,3.3,4.2,2.2,3.5,"5,137.8"
145,3.2,4.7,4,1.3,4.7,314.1
146,2.7,3.5,2.8,3.8,4.5,"11,964.2"
147,3,3.3,4,1.8,2.8,"11,964.2"
148,3.8,4.3,3.7,1.8,4.7,472.2
149,4,4.7,4.8,1,4.7,"2,150.9"
150,3.7,5,5,1.3,3.8,856.6
151,3.7,3,4.7,1.8,2.8,"3,926.9"
152,4.2,4.2,3.7,3,4.2,"7,836.0"
153,3.8,4.8,4.5,3,4.7,"11,429.8"
154,2.2,2.8,1.8,4.8,4.3,"32,548.4"
