ID#,POL IDEN,DENSITY,,,
1,2,"5,593.1",,,
2,4,"16,336.2",,,
3,4,"8,826.7",,,
4,3,"1,216.0",,,
6,2,"2,118.5",,,1233.779249
7,7,"36,325.0",,,
8,7,"9,680.9",,,
9,1,"5,038.9",,,
10,2,"1,878.2",,,
13,5,"9,301.8",,,
14,5,"7,942.8",,,
15,6,"4,387.3",,,
17,7,"4,906.7",,,
18,6,"4,906.7",,,
19,4,"7,606.7",,,
20,6,"4,906.7",,,
21,5,"4,906.7",,,
22,6,"1,193.7",,,
23,2,"21,008.6",,,
24,6,"1,193.7",,,
25,4,"2,061.0",,,
26,7,"5,907.6",,,
27,2,"6,716.9",,,
31,6,"8,906.3",,,
32,6,"11,331.5",,,
33,6,"5,624.4",,,
34,6,"1,216.0",,,
35,6,"9,241.0",,,
36,2,"3,438.5",,,
37,2,389.6,,,
38,6,"1,593.5",,,
39,4,"1,793.1",,,
41,6,"26,486.6",,,
42,4,"5,470.1",,,
43,5,"1,554.6",,,
44,7,"5,944.8",,,
45,2,"6,560.0",,,
46,4,372.3,,,
47,1,"3,851.6",,,
48,2,"8,269.5",,,
49,4,"2,369.3",,,
50,4,109.2,,,
51,6,"5,038.9",,,
52,6,"1,878.2",,,
53,4,"10,639.3",,,
54,3,"3,385.8",,,
55,6,"6,818.6",,,
56,2,"6,818.6",,,
57,5,"9,398.3",,,
58,4,"6,818.6",,,
59,3,"8,653.7",,,
60,3,"8,653.7",,,
62,4,"1,782.0",,,
63,6,"2,738.1",,,
64,6,"3,365.4",,,
66,3,"12,086.8",,,
67,2,"7,944.7",,,
69,1,"7,956.1",,,
70,1,"1,650.2",,,
72,6,144.3,,,
74,2,"2,684.7",,,
75,5,"6,690.7",,,
76,3,"5,445.3",,,
77,6,"6,882.9",,,
78,6,"6,818.6",,,
79,6,"1,609.0",,,
80,6,"6,605.2",,,
81,6,"6,028.0",,,
82,2,"6,618.4",,,
83,4,"4,527.2",,,
84,7,"3,723.1",,,
85,2,2.8,,,
86,5,"7,682.0",,,
88,6,"1,321.3",,,
89,6,"1,451.5",,,
90,7,"19,223.1",,,
91,5,"3,217.2",,,
92,7,"24,201.5",,,
93,4,"6,421.1",,,
94,7,47.9,,,
95,2,"6,356.3",,,
96,4,"5,222.2",,,
98,4,"2,223.8",,,
99,5,"6,128.7",,,
100,4,"3,057.5",,,
101,4,"10,141.7",,,
103,6,"6,716.9",,,
104,3,"8,527.7",,,
106,4,"5,645.0",,,
107,2,"11,419.0",,,
109,4,"3,464.1",,,
110,3,"7,150.6",,,
111,7,"6,294.3",,,
113,2,"5,665.1",,,
114,6,"3,505.3",,,
115,4,"4,685.0",,,
116,6,"3,946.8",,,
117,4,"2,795.5",,,
118,6,314.1,,,
119,4,"6,563.7",,,
120,6,"5,183.9",,,
121,2,"3,625.8",,,
122,6,"2,815.2",,,
123,6,"5,093.1",,,
124,6,"2,688.9",,,
125,3,"7,461.5",,,
126,4,190.6,,,
127,4,"17,705.0",,,
128,5,424.3,,,
129,6,"9,621.1",,,
130,5,"9,301.8",,,
131,5,"16,178.5",,,
132,6,"21,368.0",,,
133,2,"15,638.4",,,
134,6,"18,202.1",,,
135,6,"14,381.8",,,
136,6,"3,581.8",,,
137,5,"13,537.5",,,
138,6,"6,983.4",,,
139,3,"3,556.4",,,
140,1,486.1,,,
141,5,"20,870.8",,,
142,6,472.2,,,
143,6,"8,815.9",,,
144,5,"5,137.8",,,
145,5,314.1,,,
146,5,"11,964.2",,,
147,3,"11,964.2",,,
148,4,472.2,,,
149,2,"2,150.9",,,
150,3,856.6,,,
151,4,"3,926.9",,,
152,6,"7,836.0",,,
153,7,"11,429.8",,,
154,6,"32,548.4",,,
155,6,"9,680.9",,,
156,6,"3,606.8",,,
157,5,"5,926.7",,,
158,3,"7,478.8",,,
159,6,"4,840.6",,,
160,6,"19,356.5",,,
161,6,"3,852.1",,,
162,5,"8,971.0",,,
163,7,"8,192.6",,,
164,6,"14,870.3",,,
165,6,"5,470.1",,,
166,6,"13,557.8",,,
167,4,"11,776.8",,,
168,5,439.0,,,
169,3,"16,336.2",,,
170,5,"8,778.0",,,
171,6,"13,874.4",,,
173,5,"6,337.8",,,
174,5,144.3,,,
175,2,"3,775.4",,,
176,3,844.1,,,
177,2,"2,295.3",,,
178,4,"4,124.7",,,
179,2,"1,051.2",,,
180,4,"6,356.3",,,
181,5,"4,993.7",,,
182,4,"5,648.0",,,
183,6,"20,004.0",,,
184,6,"9,301.8",,,
185,4,"8,054.8",,,
186,4,3.5,,,
187,6,"17,558.8",,,
188,3,"1,150.1",,,
189,3,"5,688.0",,,
190,6,"6,716.9",,,
191,4,"7,475.8",,,
192,5,"7,259.0",,,
193,6,830.3,,,
194,5,"1,030.5",,,
195,6,"4,172.8",,,
196,4,36.6,,,
197,3,734.7,,,
200,7,733.6,,,
201,4,"4,519.7",,,
202,1,"4,619.6",,,
204,6,434.9,,,
207,4,"9,846.5",,,
208,5,"5,648.0",,,
209,6,"3,000.6",,,
